"index","op","name","z","type","value","probability"
5,"R_Date","TG3N-1",,"likelihood",-2519.5,0.004634
5,"R_Date","TG3N-1",,"likelihood",-2514.5,0.004734
5,"R_Date","TG3N-1",,"likelihood",-2509.5,0.004744
5,"R_Date","TG3N-1",,"likelihood",-2504.5,0.004735
5,"R_Date","TG3N-1",,"likelihood",-2499.5,0.004718
5,"R_Date","TG3N-1",,"likelihood",-2494.5,0.004435
5,"R_Date","TG3N-1",,"likelihood",-2489.5,0.003851
5,"R_Date","TG3N-1",,"likelihood",-2484.5,0.00358
5,"R_Date","TG3N-1",,"likelihood",-2479.5,0.003701
5,"R_Date","TG3N-1",,"likelihood",-2474.5,0.003691
5,"R_Date","TG3N-1",,"likelihood",-2469.5,0.0027543
5,"R_Date","TG3N-1",,"likelihood",-2464.5,0.0014549
5,"R_Date","TG3N-1",,"likelihood",-2459.5,0.0007626
5,"R_Date","TG3N-1",,"likelihood",-2454.5,0.0004201
5,"R_Date","TG3N-1",,"likelihood",-2449.5,0.00029603
5,"R_Date","TG3N-1",,"likelihood",-2444.5,0.00026701
5,"R_Date","TG3N-1",,"likelihood",-2439.5,0.00026493
5,"R_Date","TG3N-1",,"likelihood",-2434.5,0.00024557
